# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-07-14 12:22:32 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03253000 SOUTH FORK LICKING RIVER AT HAYES, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03253000
#    DD parameter   Description
#    02   00065     Gage height, feet
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
#     T  Value exceeds "standard difference" threshold.  
#     h  Value exceeds "high" threshold.  
#     ~  Value is a system interpolated value.  
# 
agency_cd	site_no	datetime	tz_cd	02_00065	02_00065_cd
5s	15s	20d	6s	14n	10s
USGS	03253000	2015-03-16 00:00	EDT	11.23	P
USGS	03253000	2015-03-16 00:15	EDT	11.21	P
USGS	03253000	2015-03-16 00:30	EDT	11.14	P
USGS	03253000	2015-03-16 00:45	EDT	11.14	P
USGS	03253000	2015-03-16 01:00	EDT	11.07	P
USGS	03253000	2015-03-16 01:15	EDT	11.03	P
USGS	03253000	2015-03-16 01:30	EDT	10.98	P
USGS	03253000	2015-03-16 01:45	EDT	10.94	P
USGS	03253000	2015-03-16 02:00	EDT	10.89	P
USGS	03253000	2015-03-16 02:15	EDT	10.87	P
USGS	03253000	2015-03-16 02:30	EDT	10.83	P
USGS	03253000	2015-03-16 02:45	EDT	10.75	P
USGS	03253000	2015-03-16 03:00	EDT	10.73	P
USGS	03253000	2015-03-16 03:15	EDT	10.66	P
USGS	03253000	2015-03-16 03:30	EDT	10.68	P
USGS	03253000	2015-03-16 03:45	EDT	10.60	P
USGS	03253000	2015-03-16 04:00	EDT	10.54	P
USGS	03253000	2015-03-16 04:15	EDT	10.51	P
USGS	03253000	2015-03-16 04:30	EDT	10.50	P
USGS	03253000	2015-03-16 04:45	EDT	10.45	P
USGS	03253000	2015-03-16 05:00	EDT	10.39	P
USGS	03253000	2015-03-16 05:15	EDT	10.38	P
USGS	03253000	2015-03-16 05:30	EDT	10.33	P
USGS	03253000	2015-03-16 05:45	EDT	10.29	P
