# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-10-07 16:04:36 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03290500 KENTUCKY RIVER AT LOCK 2 AT LOCKPORT, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03290500
#    DD parameter statistic   Description
#    06   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	06_00060_00003	06_00060_00003_cd
5s	15s	20d	14n	10s
USGS	03290500	2014-01-24	6430	P
USGS	03290500	2014-01-25	5220	P
USGS	03290500	2014-01-26	4070	P
USGS	03290500	2014-01-27	3660	P
USGS	03290500	2014-01-28	3710	P
USGS	03290500	2014-01-29	4390	P
USGS	03290500	2014-01-30	4050	P
USGS	03290500	2014-01-31	3480	P
USGS	03290500	2014-02-01	3070	P
USGS	03290500	2014-02-02	4820	P
USGS	03290500	2014-02-03	10200	P
USGS	03290500	2014-02-04	25500	P
USGS	03290500	2014-02-05	48600	P
USGS	03290500	2014-02-06	64700	P
USGS	03290500	2014-02-07	60300	P
USGS	03290500	2014-02-08	44700	P
USGS	03290500	2014-02-09	24700	P
USGS	03290500	2014-02-10	18900	P
USGS	03290500	2014-02-11	15700	P
USGS	03290500	2014-02-12	13300	P
USGS	03290500	2014-02-13	11300	P
USGS	03290500	2014-02-14	9970	P
USGS	03290500	2014-02-15	10300	P
USGS	03290500	2014-02-16	13900	P
USGS	03290500	2014-02-17	13600	P
USGS	03290500	2014-02-18	19100	P
USGS	03290500	2014-02-19	21000	P
USGS	03290500	2014-02-20	19900	P
USGS	03290500	2014-02-21	23500	P
USGS	03290500	2014-02-22	37300	P
USGS	03290500	2014-02-23	41400	P
USGS	03290500	2014-02-24	39300	P
USGS	03290500	2014-02-25	25400	P
USGS	03290500	2014-02-26	18300	P
USGS	03290500	2014-02-27	15500	P
USGS	03290500	2014-02-28	13400	P
