# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-10-07 16:01:20 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03298000 FLOYDS FORK AT FISHERVILLE, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03298000
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	03298000	2013-10-06	8380	P
USGS	03298000	2013-10-07	829	P
USGS	03298000	2013-10-08	309	P
USGS	03298000	2013-10-09	173	P
USGS	03298000	2013-10-10	111	P
USGS	03298000	2013-10-11	77	P
USGS	03298000	2013-10-12	57	P
USGS	03298000	2013-10-13	45	P
USGS	03298000	2013-10-14	35	P
USGS	03298000	2013-10-15	29	P
USGS	03298000	2013-10-16	27	P
USGS	03298000	2013-10-17	27	P
USGS	03298000	2013-10-18	27	P
USGS	03298000	2013-10-19	25	P
USGS	03298000	2013-10-20	31	P
USGS	03298000	2013-10-21	27	P
USGS	03298000	2013-10-22	23	P
USGS	03298000	2013-10-23	20	P
USGS	03298000	2013-10-24	19	P
USGS	03298000	2013-10-25	18	P
USGS	03298000	2013-10-26	17	P
USGS	03298000	2013-10-27	17	P
USGS	03298000	2013-10-28	17	P
USGS	03298000	2013-10-29	16	P
USGS	03298000	2013-10-30	280	P
USGS	03298000	2013-10-31	350	P
USGS	03298000	2013-11-01	2290	P
USGS	03298000	2013-11-02	407	P
USGS	03298000	2013-11-03	198	P
USGS	03298000	2013-11-04	126	P
USGS	03298000	2013-11-05	93	P
USGS	03298000	2013-11-06	73	P
USGS	03298000	2013-11-07	90	P
USGS	03298000	2013-11-08	95	P
USGS	03298000	2013-11-09	74	P
USGS	03298000	2013-11-10	59	P
USGS	03298000	2013-11-11	50	P
USGS	03298000	2013-11-12	45	P
USGS	03298000	2013-11-13	39	P
USGS	03298000	2013-11-14	35	P
USGS	03298000	2013-11-15	32	P
USGS	03298000	2013-11-16	35	P
USGS	03298000	2013-11-17	4370	P
USGS	03298000	2013-11-18	2220	P
USGS	03298000	2013-11-19	441	P
USGS	03298000	2013-11-20	264	P
USGS	03298000	2013-11-21	191	P
USGS	03298000	2013-11-22	155	P
USGS	03298000	2013-11-23	124	P
